case_type	audio_id	asr_run_id	split	reference_label	asr_label	decision_distance	cer	wer	sres_total	ceis	max_variant_id	risk_atom_type	all_risk_atoms	confidence_signal_available	safe_for_git	reason
high_ceis	janus_train_002527	whisper_large_v2_15_row_baseline	train	critical_escalation	no_escalation	3	90.74	100.00	330.000	15.0000	v_01_negation	negation	action|amount|negation|scam_pattern|time	no	yes_no_transcript	highest CEIS model-samples for paper case inspection
high_ceis	janus_train_002413	whisper_large_v2_15_row_baseline	train	priority_review	no_escalation	2	94.26	100.00	22.000	8.0000	v_01_actor	actor	actor|scam_pattern|uncertainty	no	yes_no_transcript	highest CEIS model-samples for paper case inspection
high_ceis	janus_train_002413	whisper_small_15_row_baseline	train	priority_review	no_escalation	2	225.41	5700.00	22.000	8.0000	v_01_actor	actor	actor|scam_pattern|uncertainty	no	yes_no_transcript	highest CEIS model-samples for paper case inspection
high_ceis	janus_validation_000411	breeze_asr25_15_row_baseline	validation	priority_review	critical_escalation	-1	25.00	100.00	13.000	5.0000	v_02_action	action	action|actor|scam_pattern	no	yes_no_transcript	highest CEIS model-samples for paper case inspection
high_ceis	janus_validation_000411	whisper_small_15_row_baseline	validation	priority_review	critical_escalation	-1	31.25	100.00	13.000	5.0000	v_02_action	action	action|actor|scam_pattern	no	yes_no_transcript	highest CEIS model-samples for paper case inspection
high_ceis	janus_train_002527	whisper_small_15_row_baseline	train	critical_escalation	priority_review	1	33.33	100.00	330.000	5.0000	v_01_negation	negation	action|amount|negation|scam_pattern|time	no	yes_no_transcript	highest CEIS model-samples for paper case inspection
high_ceis	janus_validation_000411	whisper_large_v2_15_row_baseline	validation	priority_review	critical_escalation	-1	33.93	100.00	13.000	5.0000	v_02_action	action	action|actor|scam_pattern	no	yes_no_transcript	highest CEIS model-samples for paper case inspection
high_ceis	janus_train_001535	whisper_large_v2_15_row_baseline	train	review	priority_review	-1	35.14	100.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	highest CEIS model-samples for paper case inspection
lower_cer_high_ceis	janus_validation_000411	breeze_asr25_15_row_baseline	validation	priority_review	critical_escalation	-1	25.00	100.00	13.000	5.0000	v_02_action	action	action|actor|scam_pattern	no	yes_no_transcript	CER is not extreme but decision instability is high
lower_cer_high_ceis	janus_validation_000411	whisper_small_15_row_baseline	validation	priority_review	critical_escalation	-1	31.25	100.00	13.000	5.0000	v_02_action	action	action|actor|scam_pattern	no	yes_no_transcript	CER is not extreme but decision instability is high
lower_cer_high_ceis	janus_train_002527	whisper_small_15_row_baseline	train	critical_escalation	priority_review	1	33.33	100.00	330.000	5.0000	v_01_negation	negation	action|amount|negation|scam_pattern|time	no	yes_no_transcript	CER is not extreme but decision instability is high
lower_cer_high_ceis	janus_validation_000411	whisper_large_v2_15_row_baseline	validation	priority_review	critical_escalation	-1	33.93	100.00	13.000	5.0000	v_02_action	action	action|actor|scam_pattern	no	yes_no_transcript	CER is not extreme but decision instability is high
lower_cer_high_ceis	janus_train_001535	whisper_large_v2_15_row_baseline	train	review	priority_review	-1	35.14	100.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	CER is not extreme but decision instability is high
lower_cer_high_ceis	janus_train_001535	whisper_small_15_row_baseline	train	review	priority_review	-1	36.49	100.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	CER is not extreme but decision instability is high
lower_cer_high_ceis	janus_train_000001	whisper_large_v2_15_row_baseline	train	review	priority_review	-1	37.04	100.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	CER is not extreme but decision instability is high
lower_cer_high_ceis	janus_train_000001	breeze_asr25_15_row_baseline	train	review	priority_review	-1	37.96	400.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	CER is not extreme but decision instability is high
lower_cer_high_ceis	janus_train_000001	whisper_small_15_row_baseline	train	review	priority_review	-1	37.96	100.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	CER is not extreme but decision instability is high
lower_cer_high_ceis	janus_train_001535	breeze_asr25_15_row_baseline	train	review	priority_review	-1	39.19	100.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	CER is not extreme but decision instability is high
recovery_candidate	janus_train_002527	whisper_large_v2_15_row_baseline	train	critical_escalation	no_escalation	3	90.74	100.00	330.000	15.0000	v_01_negation	negation	action|amount|negation|scam_pattern|time	no	yes_no_transcript	decision changes on a finite-grammar atom suitable for constrained recovery
recovery_candidate	janus_validation_000411	breeze_asr25_15_row_baseline	validation	priority_review	critical_escalation	-1	25.00	100.00	13.000	5.0000	v_02_action	action	action|actor|scam_pattern	no	yes_no_transcript	decision changes on a finite-grammar atom suitable for constrained recovery
recovery_candidate	janus_validation_000411	whisper_small_15_row_baseline	validation	priority_review	critical_escalation	-1	31.25	100.00	13.000	5.0000	v_02_action	action	action|actor|scam_pattern	no	yes_no_transcript	decision changes on a finite-grammar atom suitable for constrained recovery
recovery_candidate	janus_train_002527	whisper_small_15_row_baseline	train	critical_escalation	priority_review	1	33.33	100.00	330.000	5.0000	v_01_negation	negation	action|amount|negation|scam_pattern|time	no	yes_no_transcript	decision changes on a finite-grammar atom suitable for constrained recovery
recovery_candidate	janus_validation_000411	whisper_large_v2_15_row_baseline	validation	priority_review	critical_escalation	-1	33.93	100.00	13.000	5.0000	v_02_action	action	action|actor|scam_pattern	no	yes_no_transcript	decision changes on a finite-grammar atom suitable for constrained recovery
recovery_candidate	janus_train_001535	whisper_large_v2_15_row_baseline	train	review	priority_review	-1	35.14	100.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	decision changes on a finite-grammar atom suitable for constrained recovery
recovery_candidate	janus_train_001535	whisper_small_15_row_baseline	train	review	priority_review	-1	36.49	100.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	decision changes on a finite-grammar atom suitable for constrained recovery
recovery_candidate	janus_train_000001	whisper_large_v2_15_row_baseline	train	review	priority_review	-1	37.04	100.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	decision changes on a finite-grammar atom suitable for constrained recovery
recovery_candidate	janus_train_000001	breeze_asr25_15_row_baseline	train	review	priority_review	-1	37.96	400.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	decision changes on a finite-grammar atom suitable for constrained recovery
recovery_candidate	janus_train_000001	whisper_small_15_row_baseline	train	review	priority_review	-1	37.96	100.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	decision changes on a finite-grammar atom suitable for constrained recovery
recovery_candidate	janus_train_001535	breeze_asr25_15_row_baseline	train	review	priority_review	-1	39.19	100.00	12.000	5.0000	v_02_action	action	action|actor|time	no	yes_no_transcript	decision changes on a finite-grammar atom suitable for constrained recovery
recovery_candidate	janus_test_000236	whisper_small_15_row_baseline	test	critical_escalation	priority_review	1	60.19	100.00	195.000	5.0000	v_02_action	action	action|actor|scam_pattern	no	yes_no_transcript	decision changes on a finite-grammar atom suitable for constrained recovery
sres_high_ceis_low	janus_validation_000497	whisper_large_v2_15_row_baseline	validation	critical_escalation	critical_escalation	0	20.45	100.00	255.000	0.0000	v_01_negation	negation	action|negation|scam_pattern|time	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_test_000195	whisper_large_v2_15_row_baseline	test	priority_review	priority_review	0	23.61	100.00	270.000	0.0000	v_01_negation	negation	action|actor|negation|scam_pattern	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_test_000195	breeze_asr25_15_row_baseline	test	priority_review	priority_review	0	24.31	300.00	270.000	0.0000	v_01_negation	negation	action|actor|negation|scam_pattern	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_test_000195	whisper_small_15_row_baseline	test	priority_review	priority_review	0	29.17	200.00	270.000	0.0000	v_01_negation	negation	action|actor|negation|scam_pattern	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_train_002527	breeze_asr25_15_row_baseline	train	critical_escalation	critical_escalation	0	33.33	700.00	330.000	0.0000	v_01_negation	negation	action|amount|negation|scam_pattern|time	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_validation_000497	breeze_asr25_15_row_baseline	validation	critical_escalation	critical_escalation	0	35.23	600.00	255.000	0.0000	v_01_negation	negation	action|negation|scam_pattern|time	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_test_000236	whisper_large_v2_15_row_baseline	test	critical_escalation	critical_escalation	0	37.86	100.00	195.000	0.0000	v_01_actor	actor	action|actor|scam_pattern	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
sres_high_ceis_low	janus_test_000236	breeze_asr25_15_row_baseline	test	critical_escalation	critical_escalation	0	43.69	500.00	195.000	0.0000	v_01_actor	actor	action|actor|scam_pattern	no	yes_no_transcript	SRES is high but CEIS stays low, useful as a contrast case
