gate_order	gate_id	purpose	required_survivor_condition	tracked_output_policy
1	repair_setup	define_the_bounded_repair_lane_for_one_model	model_has_specific_raw_failure_or_runtime_boundary	aggregate_only_config_summary
2	one_row_rerun_if_needed	prove_raw_transcript_like_output_after_prompt_or_runtime_repair	raw_transcript_like_output_present	aggregate_only_behavior_summary
3	sentinel_rerun_if_needed	prove_ASR_boundary_behavior_under_negative_controls	sentinel_pass_rows_all_and_no_speech_hallucination_zero	aggregate_only_sentinel_summary
4	fixed_15_raw_scoring	score_raw_transcript_and_locale_behavior_after_prior_gates	raw_transcript_validity_and_zh_tw_locale_interpretable	aggregate_only_metric_locale_summary
5	opencc_taiwan_term_repair	score_deployment_post_processing_without_relabeling_raw_capability	raw_output_is_transcript_like_and_repair_question_is_approved	raw_and_repaired_metrics_separated
6	repair_delta_damage_audit	test_whether_repair_helped_without_semantic_damage	semantic_damage_rows_zero_or_scoped	aggregate_only_delta_summary
7	taiwan_utility_subgroup	measure_Taiwan_utility_only_after_clean_interpretable_gate	clean_raw_or_approved_repaired_pipeline_survivor	aggregate_only_subgroup_summary
8	human_reviewed_30_row_cds	test_CDS_risk_only_after_transcript_locale_gate_is_interpretable	taiwan_utility_result_interpretable	aggregate_only_cds_summary
9	promoted_258_row	compare_only_scientific_winners_at_split_level	30_row_cds_supports_research_question	aggregate_only_split_summary
10	selected_300_high_stakes	extend_only_stable_licensed_scientific_winners	model_is_stable_licensed_and_claim_relevant	aggregate_only_high_stakes_summary
