grid_id	model_or_route	adapter_target	rank	alpha	alpha_to_rank	dropout	precision	training_rows_policy	validation_policy	purpose	run_order	stop_rule
qwen3_0_6b_r4_a8	Qwen3-ASR-0.6B	attention_and_projection_modules	4	8	2	0.05	4bit_or_bfloat16_if_supported	accepted_ground_truth_train_only_no_test_leak	fixed_validation_plus_fixed_15_gate	Minimal feasibility adapter for zh-TW locale and term preservation.	1	Stop grid if adapter cannot save, reload, and produce one-row transcript.
qwen3_0_6b_r8_a16	Qwen3-ASR-0.6B	attention_and_projection_modules	8	16	2	0.05	4bit_or_bfloat16_if_supported	accepted_ground_truth_train_only_no_test_leak	fixed_validation_plus_fixed_15_gate	Default small-quality adapter after r4 succeeds.	2	Stop if fixed-15 proxy worsens semantic blockers.
qwen3_0_6b_r16_a32	Qwen3-ASR-0.6B	attention_and_projection_modules	16	32	2	0.05	4bit_or_bfloat16_if_supported	accepted_ground_truth_train_only_no_test_leak	fixed_validation_plus_fixed_15_gate	Higher-capacity locale and terminology adaptation.	3	Stop if overfit proxy or validation CER/WER worsens.
qwen3_0_6b_r16_a16	Qwen3-ASR-0.6B	attention_and_projection_modules	16	16	1	0.05	4bit_or_bfloat16_if_supported	accepted_ground_truth_train_only_no_test_leak	fixed_validation_plus_fixed_15_gate	Alpha sensitivity check at same rank.	4	Run only if r16_a32 improves but shows instability.
qwen3_1_7b_r4_a8	Qwen3-ASR-1.7B	attention_and_projection_modules	4	8	2	0.05	4bit_preferred	accepted_ground_truth_train_only_no_test_leak	fixed_validation_plus_fixed_15_gate	Feasibility adapter after runtime one-row success.	5	Do not run before 1.7B raw one-row success.
qwen3_1_7b_r8_a16	Qwen3-ASR-1.7B	attention_and_projection_modules	8	16	2	0.05	4bit_preferred	accepted_ground_truth_train_only_no_test_leak	fixed_validation_plus_fixed_15_gate	Default quality adapter if memory allows.	6	Stop if training OOM or reload is not reproducible.
qwen3_1_7b_r16_a32	Qwen3-ASR-1.7B	attention_and_projection_modules	16	32	2	0.05	4bit_preferred	accepted_ground_truth_train_only_no_test_leak	fixed_validation_plus_fixed_15_gate	Upper-bound adapter only after smaller ranks produce clean evidence.	7	Run only after r8 has clean proxy and enough GPU margin.
firered_aed_r4_a8	FireRedASR-AED	encoder_decoder_projection_modules	4	8	2	0.05	bfloat16_or_4bit_if_supported	accepted_ground_truth_train_only_no_test_leak	fixed_validation_plus_short_fixed_15_gate	Minimal AED locale and terminology feasibility adapter.	8	Do not run before AED one-row and fixed-15 raw/repaired baseline.
firered_aed_r8_a16	FireRedASR-AED	encoder_decoder_projection_modules	8	16	2	0.05	bfloat16_or_4bit_if_supported	accepted_ground_truth_train_only_no_test_leak	fixed_validation_plus_short_fixed_15_gate	Default AED adapter.	9	Stop if duration or semantic proxy fails.
firered_aed_r16_a32	FireRedASR-AED	encoder_decoder_projection_modules	16	32	2	0.05	bfloat16_or_4bit_if_supported	accepted_ground_truth_train_only_no_test_leak	fixed_validation_plus_short_fixed_15_gate	Higher-capacity AED adaptation.	10	Run only after r8 is stable.
firered_llm_r4_a8	FireRedASR-LLM	llm_adapter_modules_only	4	8	2	0.05	4bit_preferred	accepted_ground_truth_train_only_no_test_leak	short_fixed_validation_plus_short_fixed_15_gate	Minimal LLM ASR adapter under short-audio/resource boundary.	11	Stop if batch_size_1 one-row or adapter reload fails.
firered_llm_r8_a16	FireRedASR-LLM	llm_adapter_modules_only	8	16	2	0.05	4bit_preferred	accepted_ground_truth_train_only_no_test_leak	short_fixed_validation_plus_short_fixed_15_gate	Default LLM ASR adapter if r4 proves feasible.	12	Do not run if r4 has no clean one-row post-training output.
