source_path	run_id	metric_or_field	value	aggregation	unit	normalization	wer_tokenizer	compliance_status	paper_use	evidence
70_experiments/runs/wer_metric_audit_2026_05_25/legacy_15_row_metric_audit.tsv	breeze_asr25_15_row_baseline	wer_raw_whitespace	368.75	corpus_micro	word	none	whitespace	formula_compatible_but_not_journal_compliant_for_chinese_primary	audit_only	unit_is_word;normalization_is_none;tokenizer_is_whitespace;notes_mark_invalid_primary
70_experiments/runs/wer_metric_audit_2026_05_25/legacy_15_row_metric_audit.tsv	breeze_asr25_15_row_baseline	wer_zh_jieba	30.78	corpus_micro	word	zh_asr	jieba	journal_compliant_supplemental_chinese_wer	supplemental_only	unit_is_word;normalization_is_zh_asr;tokenizer_is_jieba;zero_reference_units_absent;references_present;hypotheses_present;manifest_ids_aligned;jiwer_cross_check_matches
70_experiments/runs/wer_metric_audit_2026_05_25/legacy_15_row_metric_audit.tsv	breeze_asr25_lora_legacy_best_15_row	wer_raw_whitespace	100.0	corpus_micro	word	none	whitespace	formula_compatible_but_not_journal_compliant_for_chinese_primary	audit_only	unit_is_word;normalization_is_none;tokenizer_is_whitespace;notes_mark_invalid_primary
70_experiments/runs/wer_metric_audit_2026_05_25/legacy_15_row_metric_audit.tsv	breeze_asr25_lora_legacy_best_15_row	wer_zh_jieba	34.61	corpus_micro	word	zh_asr	jieba	journal_compliant_supplemental_chinese_wer	supplemental_only	unit_is_word;normalization_is_zh_asr;tokenizer_is_jieba;zero_reference_units_absent;references_present;hypotheses_present;manifest_ids_aligned;jiwer_cross_check_matches
70_experiments/runs/wer_metric_audit_2026_05_25/legacy_15_row_metric_audit.tsv	breeze_asr25_partial_encoder_legacy_best_15_row	wer_raw_whitespace	81.25	corpus_micro	word	none	whitespace	formula_compatible_but_not_journal_compliant_for_chinese_primary	audit_only	unit_is_word;normalization_is_none;tokenizer_is_whitespace;notes_mark_invalid_primary
70_experiments/runs/wer_metric_audit_2026_05_25/legacy_15_row_metric_audit.tsv	breeze_asr25_partial_encoder_legacy_best_15_row	wer_zh_jieba	14.52	corpus_micro	word	zh_asr	jieba	journal_compliant_supplemental_chinese_wer	supplemental_only	unit_is_word;normalization_is_zh_asr;tokenizer_is_jieba;zero_reference_units_absent;references_present;hypotheses_present;manifest_ids_aligned;jiwer_cross_check_matches
70_experiments/runs/wer_metric_audit_2026_05_25/legacy_15_row_metric_audit.tsv	breeze_asr26_15_row_stress_test	wer_raw_whitespace	1450.0	corpus_micro	word	none	whitespace	formula_compatible_but_not_journal_compliant_for_chinese_primary	audit_only	unit_is_word;normalization_is_none;tokenizer_is_whitespace;notes_mark_invalid_primary
70_experiments/runs/wer_metric_audit_2026_05_25/legacy_15_row_metric_audit.tsv	breeze_asr26_15_row_stress_test	wer_zh_jieba	32.64	corpus_micro	word	zh_asr	jieba	journal_compliant_supplemental_chinese_wer	supplemental_only	unit_is_word;normalization_is_zh_asr;tokenizer_is_jieba;zero_reference_units_absent;references_present;hypotheses_present;manifest_ids_aligned;jiwer_cross_check_matches
70_experiments/runs/wer_metric_audit_2026_05_25/legacy_15_row_metric_audit.tsv	whisper_large_v2_15_row_baseline	wer_raw_whitespace	100.0	corpus_micro	word	none	whitespace	formula_compatible_but_not_journal_compliant_for_chinese_primary	audit_only	unit_is_word;normalization_is_none;tokenizer_is_whitespace;notes_mark_invalid_primary
70_experiments/runs/wer_metric_audit_2026_05_25/legacy_15_row_metric_audit.tsv	whisper_large_v2_15_row_baseline	wer_zh_jieba	39.61	corpus_micro	word	zh_asr	jieba	journal_compliant_supplemental_chinese_wer	supplemental_only	unit_is_word;normalization_is_zh_asr;tokenizer_is_jieba;zero_reference_units_absent;references_present;hypotheses_present;manifest_ids_aligned;jiwer_cross_check_matches
