recorded_at	ok	status	mode	action	row_number	force	rows_in_response	rows_with_timing	rows_missing_timing	proposed_started_at	proposed_finished_at	proposed_elapsed_seconds	error_keys	response_sheet_path
2026-05-26T04:42:55+08:00	True	timing_dry_run_ready	dry_run	start+finish	1	False	18	1	5	2026-05-26T10:00:00+08:00	2026-05-26T10:05:00+08:00	300		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-25T220915_0800_critical_or_high_risk_missed_response_template.tsv
2026-05-26T09:27:56+08:00	True	timing_dry_run_ready	dry_run	start	7	False	18	0	6	2026-05-26T09:27:56+08:00				70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T092502_0800_unsafe_downrouting_response_template.tsv
2026-05-26T09:53:28+08:00	True	timing_dry_run_ready	dry_run	start	13	False	18	0	6	2026-05-26T09:53:28+08:00				70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095000_0800_high_proxy_risk_response_template.tsv
2026-05-26T09:56:46+08:00	True	timing_dry_run_ready	dry_run	start	13	False	18	0	6	2026-05-26T09:56:46+08:00				70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095000_0800_high_proxy_risk_response_template.tsv
2026-05-26T09:57:16+08:00	True	timing_dry_run_ready	dry_run	start	13	False	18	0	6	2026-05-26T09:57:16+08:00				70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095000_0800_high_proxy_risk_response_template.tsv
2026-05-26T10:10:17+08:00	True	timing_dry_run_ready	dry_run	start	19	False	12	0	4	2026-05-26T10:10:17+08:00				70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T100449_0800_model_disagreement_response_template.tsv
2026-05-26T10:26:16+08:00	True	timing_dry_run_ready	dry_run	start	27	False	12	0	4	2026-05-26T10:26:16+08:00				70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T102556_0800_risk_score_fill_response_template.tsv
2026-05-26T10:26:54+08:00	True	timing_dry_run_ready	dry_run	start	27	False	12	0	4	2026-05-26T10:26:54+08:00				70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T102556_0800_risk_score_fill_response_template.tsv
2026-05-26T10:33:55+08:00	True	timing_dry_run_ready	dry_run	start	23	False	12	0	4	2026-05-26T10:33:55+08:00				70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T103335_0800_clean_control_response_template.tsv
2026-05-26T10:34:13+08:00	True	timing_dry_run_ready	dry_run	start	23	False	12	0	4	2026-05-26T10:34:13+08:00				70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T103335_0800_clean_control_response_template.tsv
2026-05-26T10:34:44+08:00	True	timing_dry_run_ready	dry_run	start	23	False	12	0	4	2026-05-26T10:34:44+08:00				70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T103335_0800_clean_control_response_template.tsv
