step_order	step_id	status	entry_condition	exit_condition	tracked_outputs	stop_rule
1	confirm_current_closeout	complete	repair_chain_completion_audit_exists	current_gate_state_recorded	remaining_completion_summary_json_and_readme	closeout_record_missing_or_privacy_boundary_failed
2	prepare_qwen_repaired_semantic_review_packet	next	qwen_repaired_pipeline_review_candidate_exists	local_review_packet_ready_without_public_sensitive_payloads	packet_manifest_hash_status_and_reviewer_instructions	packet_would_expose_row_text_or_local_paths
3	run_qwen_human_semantic_damage_review	pending	review_packet_ready	review_complete_with_aggregate_damage_counts	human_review_summary_and_validator	review_finds_semantic_damage_or_unresolved_reviewer_disagreement
4	qwen_repaired_taiwan_utility_subgroup_audit	conditional	qwen_human_semantic_review_passes	utility_and_subgroup_summary_interpretable	taiwan_utility_summary_validator_registry	subgroup_failures_make_cds_claim_uninterpretable
5	qwen_repaired_30_row_cds_gate	conditional	taiwan_utility_repaired_pipeline_passes	30_row_cds_metrics_interpretable	30_row_cds_summary_validator_registry	no_cds_utility_or_unstable_decision_evidence
6	asr_control_refresh_for_calibration	conditional	30_row_result_or_final_stop_requires_calibration	control_calibration_summary_complete	control_summary_validator_registry	control_refresh_would_reopen_main_asr_scope_without_need
7	qwen_repaired_promoted_258_row_split	conditional	30_row_cds_winner_exists	258_row_aggregate_metrics_complete	promoted_258_row_summary_validator_registry	no_scientific_winner_or_repair_claim_not_approved
8	qwen_repaired_selected_300_high_stakes	conditional	258_row_winner_exists_and_claim_relevant	selected_300_aggregate_evidence_complete	selected_300_summary_validator_registry	model_not_stable_licensed_or_claim_relevant
9	new_bounded_repair_design_optional	conditional	team_approves_new_repair_after_no_behavior_survivor	new_design_has_entry_exit_gates_and_cost_boundary	new_repair_design_record_and_validator	design_would_bypass_sentinel_or_mix_raw_and_repaired_claims
10	final_synthesis_and_closeout	pending	qwen_review_completed_or_declined_and_optional_repairs_closed	final_winner_or_no_winner_state_recorded	final_synthesis_registry_docs_planning_bridge	validators_or_leak_scan_fail
