phase_id	phase_name	status	entry_condition	action	exit_evidence	tracked_record	stop_rule
0	freeze_negative_evidence	completed	qwen_expert_review_and_step_lora_iteration_1_exist	preserve failure lessons and privacy boundary	failure_to_action_matrix_recorded	v2_0_multimodal_failure_informed_full_completion_roadmap_2026_06_01	stop_if_sensitive_payload_would_be_tracked
1	acoustic_guard_design	completed	no_human_review_constraint_active	design deterministic audio-only no-speech/non-speech guard	guard_design_and_validator_pass	v2_0_multimodal_acoustic_guard_design_2026_06_01	stop_if_guard_depends_on_transcript_or_human_review
2	guard_manifest_preflight	completed	guard_design_complete	verify ignored one-row and sentinel manifests with aggregate feature status	manifest_hash_status_and_guard_feature_summary	v2_0_multimodal_acoustic_guard_manifest_preflight_2026_06_01	stop_if_manifest_boundary_not_repo_safe
3	step_guarded_one_row	completed	guard_manifest_preflight_passed	apply guard before Step one-row transcript contract	guarded_one_row_promote_to_sentinel	v2_0_multimodal_step_audio_guarded_one_row_2026_06_01	stop_if_one_row_transcript_contract_fails
4	step_guarded_sentinel	completed	step_guarded_one_row_passed	apply guard before Step sentinel controls	sentinel_pass_rows_6_of_6_and_no_speech_hallucination_0	v2_0_multimodal_step_audio_guarded_sentinel_2026_06_01	stop_if_sentinel_pass_rows_less_than_6
5	moss4_guarded_sentinel	completed	moss4_raw_one_row_passed	apply guard before MOSS4 sentinel controls	sentinel_pass_rows_6_of_6_and_no_speech_hallucination_0	v2_0_multimodal_moss4_guarded_sentinel_2026_06_01	stop_if_sentinel_pass_rows_less_than_6
6	minicpm_guarded_sentinel	completed	minicpm_raw_one_row_passed	apply guard before MiniCPM sentinel controls under quantized scope	sentinel_pass_rows_6_of_6_and_behavior_violations_0	v2_0_multimodal_minicpm_guarded_sentinel_2026_06_01	stop_if_behavior_violation_remains
7	guarded_survivor_audit	completed	guarded_sentinel_records_exist	select behavior-clean guarded survivors for fixed-15	three_guarded_fixed_15_candidates_recorded	v2_0_multimodal_guarded_survivor_audit_2026_06_01	stop_if_no_survivor_then_consider_lora_iteration_2_or_closeout
8	guarded_fixed_15	next	guarded_survivor_audit_has_survivors	run fixed-15 transcript and zh-TW locale scoring for Step MOSS4 MiniCPM	aggregate_transcript_metrics_locale_summary_and_gate_decision	v2_0_multimodal_guarded_fixed_15_2026_06_01	stop_if_valid_output_or_locale_gate_fails
9	guarded_semantic_damage_proxy	pending	at_least_one_guarded_fixed_15_survivor	run deterministic automatic semantic-damage proxy over fixed-15 outputs	all_blocker_counts_zero_or_blocker_closeout	v2_0_multimodal_guarded_auto_semantic_proxy_2026_06_01	stop_if_any_blocker_count_nonzero
10	guarded_taiwan_utility_proxy	pending	semantic_damage_proxy_clean	run limited automatic Taiwan utility and subgroup proxy under deployment-repair scope	aggregate_utility_subgroup_summary_with_claim_boundary	v2_0_multimodal_guarded_taiwan_utility_proxy_2026_06_01	stop_if_proxy_cannot_answer_cds_asr_claim
11	step_lora_iteration_2_design	conditional	guarded_route_has_no_survivor_or_step_target_remains_important	design changed LoRA intervention with stronger no-speech/non-speech target weighting	payload_manifest_hash_and_adapter_evaluator_contract	v2_0_multimodal_step_audio_lora_iteration_2_design_2026_06_01	stop_if_design_repeats_iteration_1
12	step_lora_iteration_2_train	conditional	iteration_2_design_passed	train bounded Step LoRA iteration 2 using local-only payload	local_only_adapter_hash_and_training_metrics	v2_0_multimodal_step_audio_lora_iteration_2_train_2026_06_01	stop_if_no_adapter_or_privacy_boundary_fails
13	step_lora_iteration_2_post_gates	conditional	iteration_2_adapter_created	run post-training one-row then sentinel	one_row_pass_and_sentinel_pass_rows_6_of_6	v2_0_multimodal_step_audio_lora_iteration_2_post_gates_2026_06_01	stop_if_sentinel_still_fails
14	kimi_external_runtime_route	optional	capacity_and_claim_need_remain	run isolated prebuilt flash_attn or external CUDA route without repo-wide toolchain mutation	one_row_result_or_dependency_closeout	v2_0_multimodal_kimi_external_runtime_route_2026_06_01	stop_if_route_unbounded_or_unreproducible
15	moss8_external_resource_route	optional	capacity_and_claim_need_remain	run quantized or external-GPU MOSS8 route under explicit reproducibility scope	one_row_result_or_resource_closeout	v2_0_multimodal_moss8_external_resource_route_2026_06_01	stop_if_route_not_comparable
16	final_synthesis	required	all_feasible_routes_passed_stopped_or_deferred	write scoped winner or final no-human no-winner audit	final_completion_audit_registry_docs_planning_bridge	v2_0_multimodal_no_human_final_completion_audit_2026_06_01	stop_only_after_every_open_route_has_evidence_or_defer_decision
