phase_order	phase_id	purpose	entry_condition	exit_condition	tracked_outputs	stop_rule
1	governance_and_tracking_lock	Lock raw-audio-never-tracked and full repo-safe tracking policy	repair_first_design_record_exists	tracking_policy_visible_in_docs_registry_and_run_records	README_and_summary_and_registry	raw_audio_or_sensitive_payload_requested_for_public_git
2	controlled_artifact_manifest_setup	Create manifest/hash/status records for non-audio local payloads	local_outputs_exist_or_will_exist	controlled_artifact_manifest_schema_ready	artifact_manifest_summary_tsv_and_validator	manifest_would_expose_row_content_or_local_paths
3	qwen_opencc_locale_repair	Test OpenCC and Taiwan-term repair on existing Qwen fixed-15 outputs	qwen_fixed_15_outputs_exist_local_only	raw_vs_repaired_metrics_and_damage_audit_complete	qwen_repair_run_record_and_validator	repair_introduces_semantic_damage_or_no_locale_gain
4	moss4_sentinel_repair	Rerun MOSS 4B with sentinel behavior repair	moss4_one_row_passed_and_sentinel_failed	sentinel_pass_rows_6_of_6_and_no_speech_hallucination_zero	moss4_sentinel_repair_record	hallucination_remains_on_no_speech_or_non_speech
5	minicpm_sentinel_repair	Rerun MiniCPM sentinel under explicit quantized/full-bf16 scope	minicpm_one_row_passed_and_sentinel_failed	sentinel_pass_rows_6_of_6_without_summary_translation_hallucination	minicpm_sentinel_repair_record	behavior_violation_remains_or_scope_not_interpretable
6	step_transcript_contract_repair	Repair Step prompt/runtime to produce transcript-like text	step_one_row_failed_transcript_contract	one_row_raw_transcript_like_output_present	step_repair_one_row_record	no_transcript_like_output_after_bounded_repair
7	kimi_runtime_dependency_repair	Repair Kimi flash_attn/CUDA-toolchain isolated runtime	kimi_blocked_by_flash_attn	runtime_dependency_resolved_and_one_row_attempt_recorded	kimi_dependency_repair_record	official_runtime_cannot_run_without_repo_wide_or_unbounded_change
8	moss8_resource_route_repair	Repair MOSS 8B resource route before one-row rerun	moss8_blocked_by_16gb_oom	bounded_resource_route_and_one_row_attempt_recorded	moss8_resource_repair_record	resource_route_unstable_or_not_comparable
9	repaired_one_row_and_sentinel_chain	Run one-row/sentinel for repaired survivors	repair_lane_passes_required_prior_condition	survivors_classified_for_fixed_15	repaired_gate_chain_summary	no_repaired_model_passes_required_behavior_gates
10	repaired_fixed_15_raw_and_locale_gate	Score fixed-15 for repaired survivors	sentinel_survivor_exists	raw_and_repaired_locale_results_separated	fixed_15_repair_gate_records	no_clean_raw_or_approved_repaired_pipeline_survivor
11	taiwan_utility_subgroup_audit	Audit Taiwan usage, code-switching, proper nouns, long-pause drift	fixed_15_survivor_exists	subgroup_utility_summary_interpretable	taiwan_utility_summary_and_validator	subgroup_failures_make_CDS_gate_uninterpretable
12	human_reviewed_30_row_cds_gate	Test CDS-ASR decision utility on human-reviewed 30-row gate	taiwan_utility_survivor_exists	30_row_CDS_metrics_interpretable	30_row_cds_run_record_and_validator	no_CDS_improvement_or_unstable_decision_evidence
13	asr_control_refresh	Refresh ASR controls only for calibration and paper framing	30_row_or_stop_context_requires_calibration	control_calibration_summary_complete	control_summary_records	control_refresh_would_reopen_main_ASR_scope_without_need
14	promoted_258_row_split	Run comparable split only for scientific winners	30_row_cds_winner_exists	258_row_aggregate_metrics_complete	promoted_258_row_record	no_scientific_winner
15	selected_300_high_stakes	Run selected-300 only for stable licensed scientific winners	258_row_winner_exists_and_claim_relevant	selected_300_aggregate_evidence_complete	selected_300_run_record	model_not_stable_licensed_or_claim_relevant
16	final_synthesis_and_closeout	Write final synthesis, paper boundary, final stop or promotion decision	all_repair_secondary_and_large_gates_done_or_stopped	final_completion_audit_and_docs_ready	final_completion_audit_registry_docs_planning_bridge	validators_or_leak_scan_fail
