phase_id	phase_name	objective	entry_condition	exit_evidence	tracked_record	stop_rule
0	boundary_freeze	Freeze current failures privacy rules and gate order	current_expert_review_and_lora_iteration_1_records_exist	failure_lesson_matrix_and_plan_recorded	v2_0_multimodal_failure_informed_no_human_completion_plan_2026_06_01	stop_if_raw_audio_transcripts_outputs_or_local_paths_would_be_tracked
1	acoustic_guard_design	Design deterministic no_speech_non_speech guard using audio-only aggregate features	no_human_review_constraint_active	guard_config_summary_and_validator_with_no_payload_leak	v2_0_multimodal_acoustic_guard_design_2026_06_01	stop_if_guard_requires_human_labels_or_transcript_bearing_tracking
2	guard_manifest_preflight	Confirm sentinel and one_row manifests remain local and ignored before guard runs	phase_1_complete	manifest_hash_status_and_artifact_class_record	v2_0_multimodal_acoustic_guard_manifest_preflight_2026_06_01	stop_if_manifest_or_artifact_boundary_is_not_repo_safe
3	step_guarded_one_row	Run Step guarded pipeline one_row transcript contract	phase_2_complete	valid_text_and_raw_transcript_like_or_classified_guard_decision	v2_0_multimodal_step_audio_guarded_one_row_2026_06_01	stop_if_one_row_contract_fails
4	step_guarded_sentinel	Run Step guarded pipeline sentinel controls	phase_3_passes	sentinel_pass_rows_6_of_6_and_hallucination_on_no_speech_rows_0	v2_0_multimodal_step_audio_guarded_sentinel_2026_06_01	stop_if_sentinel_pass_rows_less_than_6_or_no_speech_hallucination_nonzero
5	moss4_guarded_sentinel	Run MOSS4 guarded sentinel controls because raw MOSS4 already passed one_row	phase_2_complete	sentinel_pass_rows_6_of_6_and_hallucination_on_no_speech_rows_0	v2_0_multimodal_moss4_guarded_sentinel_2026_06_01	stop_if_sentinel_pass_rows_less_than_6_or_no_speech_hallucination_nonzero
6	minicpm_guarded_sentinel	Run MiniCPM guarded sentinel controls under explicit quantized/full_bf16 scope	phase_2_complete	sentinel_pass_rows_6_of_6_without_summary_translation_hallucination	v2_0_multimodal_minicpm_guarded_sentinel_2026_06_01	stop_if_behavior_violation_remains_or_scope_not_interpretable
7	guarded_survivor_audit	Select any behavior_clean guarded survivor for fixed_15	phases_4_to_6_complete	at_least_one_survivor_or_no_guarded_survivor_stop	v2_0_multimodal_guarded_survivor_audit_2026_06_01	if_no_survivor_then_go_to_lora_iteration_2_or_no_winner_closeout
8	guarded_fixed_15	Run fixed_15 transcript and zh_TW locale gates for guarded survivors	phase_7_has_survivor	valid_output_rate_95_locale_violation_rate_1_percent_or_less	v2_0_multimodal_guarded_fixed_15_2026_06_01	stop_if_locale_or_transcript_contract_fails
9	automatic_semantic_proxy	Run deterministic semantic_damage proxy for guarded survivor fixed_15 outputs	phase_8_passes	all_blocker_rows_zero_or_explicit_blocker_record	v2_0_multimodal_guarded_auto_semantic_proxy_2026_06_01	stop_if_any_semantic_damage_blocker_nonzero
10	automatic_taiwan_utility_proxy	Run limited automatic Taiwan utility and subgroup proxy under repaired_pipeline claim	phase_9_clean	aggregate_utility_subgroup_evidence_with_claim_boundary	v2_0_multimodal_guarded_taiwan_utility_proxy_2026_06_01	stop_if_proxy_not_aligned_to_CDS_ASR_claim
11	step_lora_iteration_2_design	Design changed Step LoRA intervention only if guard route fails or Step remains target	no_guarded_survivor_or_step_guard_fails	negative_weighted_payload_manifest_and_adapter_eval_contract	v2_0_multimodal_step_audio_lora_iteration_2_design_2026_06_01	stop_if_design_repeats_iteration_1_without_new_intervention
12	step_lora_iteration_2_train	Run bounded Step LoRA iteration_2 with stronger no_speech_non_speech target	phase_11_complete	local_only_adapter_hash_and_train_metrics	v2_0_multimodal_step_audio_lora_iteration_2_train_2026_06_01	stop_if_no_adapter_created_or_privacy_boundary_fails
13	step_lora_iteration_2_post_gates	Run post_training one_row then sentinel for iteration_2	phase_12_adapter_created	one_row_pass_and_sentinel_pass_rows_6_of_6	v2_0_multimodal_step_audio_lora_iteration_2_post_gates_2026_06_01	stop_if_sentinel_still_fails
14	kimi_external_runtime_route	Optional Kimi external/prebuilt flash_attn route with no repo_wide_toolchain_change	only_if_capacity_and_claim_need_remain	one_row_runtime_result_or_dependency_closed	v2_0_multimodal_kimi_external_runtime_route_2026_06_01	stop_if_toolchain_change_unbounded_or_unreproducible
15	moss8_external_resource_route	Optional MOSS8 quantized_or_external_gpu route	only_if_capacity_and_claim_need_remain	one_row_runtime_result_or_resource_closed	v2_0_multimodal_moss8_external_resource_route_2026_06_01	stop_if_resource_route_unstable_or_not_comparable
16	final_synthesis	Write final no_human winner or no_winner synthesis	all_feasible_routes_passed_or_stopped	final_completion_audit_registry_docs_planning_bridge	v2_0_multimodal_no_human_final_completion_audit_2026_06_01	stop_only_after_every_prior_open_route_has_evidence_or_defer_decision
