phase_id	phase_name	status	owner_repo	required_artifact	validation_or_gate	stop_rule
0	freeze_prior_failure_lessons	done	cib-semantic-risk-asr	README.md	Record Qwen3-0.6B locale failure, Qwen3-1.7B runtime timeout, multimodal no-winner, Step LoRA sentinel failure, and privacy rules.	Do not reopen completed human review or raw multimodal gates.
1	model_metadata_refresh	ready	cib-semantic-risk-asr	model_gate_plan.tsv	Verify current model IDs, licenses, parameter sizes, runtime backends, duration limits, and training feasibility from primary sources.	Stop a model before runtime if license, weight, or dependency policy is not usable.
2	local_only_manifest_preflight	planned	cib-semantic-risk-asr	controlled_artifact_manifest.tsv	Record artifact class, count, sensitivity, storage policy, hash status, and split policy only.	No row IDs, transcripts, audio paths, or model outputs in Git.
3	qwen3_0_6b_repaired_baseline	planned	cib-semantic-risk-asr	qwen3_0_6b_repaired_fixed15_summary.json	Run existing 15-row raw evidence through deterministic OpenCC/Taiwan-term deployment repair and automatic semantic proxy.	Stop if repaired view has locale residuals or semantic blockers.
4	qwen3_1_7b_runtime_retry	planned	cib-semantic-risk-asr	qwen3_1_7b_one_row_runtime_summary.json	Isolated cache, pinned versions, explicit timeout, one-row raw inference, locale scan.	No first inference row means no fixed-15 and no LoRA.
5	firered_metadata_runtime_gate	planned	cib-semantic-risk-asr	firered_metadata_runtime_summary.json	FireRedASR AED/LLM license, weights, dependency, duration, and one-row feasibility.	Stop any variant with non-reproducible runtime or unsuitable duration boundary.
6	raw_fixed15_gate	planned	cib-semantic-risk-asr	raw_fixed15_gate_summary.json	Run fixed-15 only for models with one-row success; compute raw CER/WER and raw locale metrics.	Stop models that fail transcript contract or raw output validity.
7	traditional_chinese_deployment_repair_gate	planned	cib-semantic-risk-asr	repaired_fixed15_gate_summary.json	Apply deterministic Simplified-to-Traditional conversion, Taiwan terms, punctuation normalization, and safe formatting only.	Stop if conversion changes meaning by proxy or leaves locale residuals.
8	baseline_matrix_record	planned	cib-semantic-risk-asr	baseline_matrix_summary.json	Record raw baseline, Traditional Chinese deployment-repair baseline, subgroup baseline, and frozen LoRA comparison surfaces according to baseline_experiment_matrix.tsv.	Do not collapse raw, repaired, subgroup, and LoRA comparison evidence into one score.
9	automatic_semantic_damage_proxy	planned	cib-semantic-risk-asr	semantic_damage_proxy_summary.json	Check CER/WER worsening, critical-term changes, proper nouns, abbreviations, length ratio, empty-output changes, low overlap, and locale residuals.	Any blocker stops promotion.
10	lora_intervention_rationale_decision	planned	cib-semantic-risk-asr	lora_intervention_rationale_decision.json	Classify each failure as runtime, duration, raw capability, locale, deterministic-repair, semantic-damage, subgroup, fine-tuning-addressable, or research-probe.	Do not open LoRA merely because CER/WER is imperfect; record either a diagnostic-triggered reason or a bounded research-probe reason with expected consequence checks.
11	lora_payload_contract	planned	cib-semantic-risk-asr	lora_payload_manifest.tsv	Use accepted ground-truth train rows only; freeze validation and test; track hash/status only.	Stop if split leakage or transcript-bearing payload would enter Git.
12	lora_smoke_single_adapter	planned	cib-semantic-risk-asr	lora_smoke_train_summary.json	Train the smallest feasible adapter, save locally, reload, and run one-row post-training evaluation.	No adapter reload or one-row transcript means no rank/alpha sweep.
13	lora_rank_alpha_grid	planned	cib-semantic-risk-asr	lora_grid_results_summary.tsv	Run ordered rank/alpha grid only for candidates whose smoke adapter passes.	Stop wider ranks when smaller rank fails semantic proxy or resource gate.
14	post_lora_fixed15_proxy	planned	cib-semantic-risk-asr	post_lora_fixed15_proxy_summary.json	Evaluate frozen fixed-15 and semantic proxy against raw and repaired baselines.	Stop if LoRA improves locale but worsens semantic damage or overfits.
15	limited_taiwan_utility_proxy	planned	cib-semantic-risk-asr	taiwan_utility_proxy_summary.json	Run only for clean survivors; subgroup by Taiwan terms, code-switching, bank/health/identity/reporting terms, duration, noise.	No clean fixed-15/proxy survivor means skip.
16	larger_gate_decision	planned	cib-semantic-risk-asr	larger_gate_decision_summary.json	Decide whether any survivor earns 30-row CDS, 258-row, or selected-300 route under scoped evidence.	Do not advance without claim-evidence alignment.
17	final_closeout	planned	cib-semantic-risk-asr	final_qwen3_firered_lora_audit.json	Record scoped survivor or no-human no-winner closeout; update docs, registry, planning.	Close when every feasible route has evidence or bounded deferral.
