baseline_id	model_or_route	gate_order	view	input_scope	output_policy	primary_metrics	secondary_metrics	promotion_question	stop_rule
qwen3_0_6b_raw_existing	Qwen3-ASR-0.6B	1	raw_capability_view	existing_fixed_15_negative_run	no_conversion_raw_output	cer_zh_micro,wer_zh_jieba_micro	simplified_char_rate,locale_violation_rows,valid_output_rate	What is the raw ASR quality and locale failure shape before any repair or LoRA?	Do not promote raw route if strict zh-TW locale remains failed.
qwen3_0_6b_trad_repair	Qwen3-ASR-0.6B	2	deployment_repair_view	existing_fixed_15_negative_run	opencc_plus_taiwan_terms	cer_delta,wer_delta,simplified_char_rate_delta	critical_term_proxy,proper_noun_proxy,abbreviation_proxy	Does deterministic Simplified-to-Traditional and Taiwan lexical repair solve locale without semantic damage?	Stop deployment route if semantic-damage proxy has blockers.
qwen3_0_6b_lora_probe	Qwen3-ASR-0.6B	3	lora_intervention_probe	approved_local_train_manifest	local_adapter_only_no_weight_tracking	post_lora_fixed15_delta,semantic_proxy_delta	adapter_train_save_reload,rank_alpha_sensitivity	What is the effect and consequence of LoRA after the known locale-failure baseline?	Stop grid if smoke adapter cannot reload or post-LoRA proxy worsens.
qwen3_1_7b_raw_runtime	Qwen3-ASR-1.7B	1	raw_capability_view	one_row_then_fixed_15_if_runtime_passes	no_conversion_raw_output	first_inference_success,cuda_runtime_status	wall_time,package_versions,model_revision	Can 1.7B produce reproducible local inference before quality evaluation?	No first inference row means no baseline, no repaired view, and no LoRA.
qwen3_1_7b_trad_repair	Qwen3-ASR-1.7B	2	deployment_repair_view	fixed_15_after_runtime_success	opencc_plus_taiwan_terms	cer_delta,wer_delta,simplified_char_rate_delta	semantic_damage_proxy,locale_residuals	Does the larger Qwen3-ASR variant still need deterministic repair for zh-TW?	Stop if repaired proxy has blockers or runtime is not reproducible.
qwen3_1_7b_lora_probe	Qwen3-ASR-1.7B	3	lora_intervention_probe	approved_local_train_manifest_after_runtime	local_adapter_only_no_weight_tracking	post_lora_fixed15_delta,semantic_proxy_delta	resource_margin,rank_alpha_sensitivity	Does LoRA on 1.7B improve zh-TW behavior enough to justify its resource cost?	Stop if 4-bit/rank4 smoke fails resource or reload gate.
firered_aed_raw	FireRedASR-AED	1	raw_capability_view	one_row_then_short_fixed_15	no_conversion_raw_output	cer_zh_micro,wer_zh_jieba_micro	duration_boundary,valid_output_rate,locale_profile	Can FireRedASR-AED serve as an efficient short-audio Chinese ASR baseline?	Stop if duration/runtime gate fails or transcript contract fails.
firered_aed_trad_repair	FireRedASR-AED	2	deployment_repair_view	short_fixed_15	opencc_plus_taiwan_terms	cer_delta,wer_delta,simplified_char_rate_delta	semantic_damage_proxy,subgroup_proxy	Does deterministic repair make AED usable for Taiwan Traditional Chinese without semantic damage?	Stop if semantic proxy or subgroup proxy fails.
firered_aed_lora_probe	FireRedASR-AED	3	lora_intervention_probe	approved_local_train_manifest_after_baseline	local_adapter_only_no_weight_tracking	post_lora_fixed15_delta,semantic_proxy_delta	adapter_train_save_reload,rank_alpha_sensitivity	Does AED LoRA improve Taiwan lexical/domain errors while preserving short-audio ASR quality?	Stop grid if r4/a8 smoke does not beat or preserve repaired baseline.
firered_llm_raw	FireRedASR-LLM	1	raw_capability_view	batch_size_1_one_row_then_short_fixed_15	no_conversion_raw_output	cer_zh_micro,wer_zh_jieba_micro	resource_status,duration_boundary,repetition_proxy	Can the LLM-integrated FireRed route run reproducibly on short Taiwan Mandarin/code-switching audio?	Stop if resource, duration, or repetition boundary fails.
firered_llm_trad_repair	FireRedASR-LLM	2	deployment_repair_view	short_fixed_15	opencc_plus_taiwan_terms	cer_delta,wer_delta,simplified_char_rate_delta	semantic_damage_proxy,code_switch_proxy	Does repaired LLM-ASR output preserve English terms and Taiwan Traditional Chinese?	Stop if repaired proxy damages abbreviations or code-switch terms.
firered_llm_lora_probe	FireRedASR-LLM	3	lora_intervention_probe	approved_local_train_manifest_after_baseline	local_adapter_only_no_weight_tracking	post_lora_fixed15_delta,semantic_proxy_delta	resource_margin,rank_alpha_sensitivity	What consequence does LoRA have on LLM-ASR stability, repetition, and code-switch fidelity?	Stop if post-LoRA repetition, empty-output, or semantic proxy worsens.
