model_family	model_id	release_date_or_hf_created_at	last_modified	pipeline_tag	public_or_gated	license	parameter_count_or_effective_size	weight_storage_gib	modalities	speech_input_supported	transcript_like_output_supported	recommended_runtime	trust_remote_code_required	candidate_lane	first_gate	promotion_decision	source_url	model_revision_sha	parameter_source	license_source	runtime_source	notes
Kimi-Audio	moonshotai/Kimi-Audio-7B-Instruct	2025-04-25T08:05:10.000Z	2025-05-29T03:01:58.000Z	text-to-speech	public	mit	Kimi-Audio-7B label; HF widget currently reports 10B params	39.67	audio,text,speech_generation	yes	yes	official KimiAudio package / Docker; text output only	yes	batch1_primary_zh_tw_audio_llm	metadata_size_boundary_then_runtime_smoke	metadata_pending_size_boundary	https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct	9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b	HF model card lines 230-238 and model name/card introduction	hf_api_cardData_or_license_tag	HF card KimiAudio usage and GitHub repository	Primary scientific candidate, but Gate 0 records a size-boundary validation layer because the public HF widget says 10B params while the model family is named 7B.
Qwen2.5-Omni	Qwen/Qwen2.5-Omni-7B	2025-03-22T02:27:55.000Z	2025-04-30T13:48:45.000Z	any-to-any	public	apache-2.0	7B	20.83	text,image,audio,video,speech_generation	yes	yes	Transformers Qwen2_5Omni; text output only; disable speech output	likely_no	batch1_primary_zh_tw_audio_llm	runtime_smoke	runtime_ready_after_artifact_check	https://huggingface.co/Qwen/Qwen2.5-Omni-7B	ae9e1690543ffd5c0221dc27f79834d0294cba00	HF model id, model card, and Qwen2.5-Omni technical report	HF public model page; HF API cardData currently returns other	HF model card Transformers usage	Stable general-purpose omni baseline; runtime smoke must force transcript-only output.
Step-Audio 2 mini	stepfun-ai/Step-Audio-2-mini	2025-08-28T07:12:50.000Z	2026-02-14T09:32:03.000Z	any-to-any	public	apache-2.0	8B	16.63	audio,text,speech_conversation	yes	yes	Transformers custom_code / official examples; no TTS output	yes	batch1_primary_zh_tw_audio_llm	runtime_smoke	runtime_ready_after_artifact_check	https://huggingface.co/stepfun-ai/Step-Audio-2-mini	e36fdd5d71e0ea22f09dd94bbab9bfc544ca1e36	HF model card Model size widget	hf_api_cardData_or_license_tag	HF model card and Step-Audio 2 technical report	Strict transcript-only smoke before any speech conversation, tool, or paralinguistic task.
MOSS-Audio	OpenMOSS-Team/MOSS-Audio-4B-Instruct	2026-04-10T10:49:34.000Z	2026-04-14T03:33:32.000Z	audio-text-to-text	public	apache-2.0	~4.6B total size; 4B label	9.73	audio,text,speech,sound,music	yes	yes	official MOSS-Audio clean Python 3.12 environment	yes	batch1_primary_zh_tw_audio_llm	runtime_smoke_4b_first	runtime_ready_after_artifact_check	https://huggingface.co/OpenMOSS-Team/MOSS-Audio-4B-Instruct	6907a499dc0e87cc77c8ae0fe23fd0eb5476a02d	OpenMOSS GitHub model table	hf_api_cardData_or_license_tag	OpenMOSS GitHub quickstart	First MOSS-Audio runtime target; Instruct variant is the transcript/QA candidate.
MOSS-Audio	OpenMOSS-Team/MOSS-Audio-8B-Instruct	2026-04-13T11:17:35.000Z	2026-04-14T03:32:56.000Z	audio-text-to-text	public	apache-2.0	~8.6B total size; 8B label	16.86	audio,text,speech,sound,music	yes	yes	official MOSS-Audio clean Python 3.12 environment	yes	batch1_primary_zh_tw_audio_llm	runtime_smoke_after_4b	runtime_ready_after_4b_smoke	https://huggingface.co/OpenMOSS-Team/MOSS-Audio-8B-Instruct	cb7369a8094b5f1c818e384a8d76596c0e2138bd	OpenMOSS GitHub model table	hf_api_cardData_or_license_tag	OpenMOSS GitHub quickstart	Second MOSS-Audio transcript target after 4B confirms environment and prompt contract.
MOSS-Audio	OpenMOSS-Team/MOSS-Audio-4B-Thinking	2026-04-11T05:28:01.000Z	2026-04-14T03:34:24.000Z	audio-text-to-text	public	apache-2.0	~4.6B total size; 4B label	9.73	audio,text,speech,sound,music	yes	yes	official MOSS-Audio clean Python 3.12 environment	yes	batch1_reasoning_variant_after_instruct	reasoning_variant_after_instruct_gate	defer_until_instruct_transcript_gate	https://huggingface.co/OpenMOSS-Team/MOSS-Audio-4B-Thinking	0099773e141bd410bc698c03c9a029e7c2ec8169	OpenMOSS GitHub model table	hf_api_cardData_or_license_tag	OpenMOSS GitHub quickstart	Thinking variant is recorded in Batch 1 family metadata but not first transcript target.
MOSS-Audio	OpenMOSS-Team/MOSS-Audio-8B-Thinking	2026-04-13T11:55:56.000Z	2026-04-14T03:35:01.000Z	audio-text-to-text	public	apache-2.0	~8.6B total size; 8B label	16.86	audio,text,speech,sound,music	yes	yes	official MOSS-Audio clean Python 3.12 environment	yes	batch1_reasoning_variant_after_instruct	reasoning_variant_after_instruct_gate	defer_until_instruct_transcript_gate	https://huggingface.co/OpenMOSS-Team/MOSS-Audio-8B-Thinking	626fe2f0e695603f10d8cb2691815deb350f60b3	OpenMOSS GitHub model table	hf_api_cardData_or_license_tag	OpenMOSS GitHub quickstart	Thinking variant is recorded in Batch 1 family metadata but not first transcript target.
MiniCPM-o	openbmb/MiniCPM-o-4_5	2026-02-03T14:10:39.000Z	2026-05-19T14:03:16.000Z	any-to-any	public	apache-2.0	9B	18.60	text,image,audio,video,speech_generation,full_duplex	yes	yes	Transformers custom_code; text-only audio understanding mode	yes	batch1_primary_zh_tw_audio_llm	artifact_license_runtime_gate_then_runtime_smoke	runtime_ready_after_artifact_check	https://huggingface.co/openbmb/MiniCPM-o-4_5	4382fcae8a551b54d18f18462db974ff312aa7f3	HF model card introduction and Model size widget	hf_api_cardData_or_license_tag	HF model card / OpenBMB project runtime sections	Batch 1 MiniCPM target; must remain transcript-only before interaction tests.
MiniCPM-o	openbmb/MiniCPM-o-2_6	2025-01-12T07:40:10.000Z	2025-10-05T08:19:06.000Z	any-to-any	public	apache-2.0	8B label in MiniCPM-o 2.6 family	16.21	text,image,audio,video,speech_generation	yes	yes	Transformers custom_code fallback	yes	fallback_only	fallback_metadata_then_optional_smoke	fallback_only_not_batch1_main	https://huggingface.co/openbmb/MiniCPM-o-2_6	509805e84db1c84f154034d71a21c4f2331e6e11	HF model family/card label; fallback only	hf_api_cardData_or_license_tag	HF model card	Use only if MiniCPM-o 4.5 is not reproducible or strict 2025-only scope is required.
MiniCPM-o	openbmb/MiniCPM-o-2_6-int4	2025-01-13T09:04:31.000Z	2025-10-05T08:14:58.000Z	any-to-any	public	apache-2.0	int4 quantized fallback of MiniCPM-o 2.6	7.10	text,image,audio,video,speech_generation	yes	yes	Transformers custom_code int4 fallback	yes	fallback_runtime_variant_only	fallback_runtime_variant_metadata	fallback_only_not_scientific_model	https://huggingface.co/openbmb/MiniCPM-o-2_6-int4	f347c848dd57a5dfdf5b6e32eb257101a6a8a07f	HF model id/card; runtime fallback only	hf_api_cardData_or_license_tag	HF model card	Runtime fallback only; not a separate scientific model family.
