baseline_id	model_or_route	view	gate_order	current_decision	claim_boundary
qwen3_0_6b_raw_existing	Qwen3-ASR-0.6B	raw_capability_view	1	ready_existing_evidence	raw_capability_view
qwen3_0_6b_trad_repair	Qwen3-ASR-0.6B	deployment_repair_view	2	ready_existing_evidence	deployment_repair_view
qwen3_0_6b_lora_probe	Qwen3-ASR-0.6B	lora_intervention_probe	3	blocked_until_lora_intervention_rationale	lora_intervention_probe
qwen3_1_7b_raw_runtime	Qwen3-ASR-1.7B	raw_capability_view	1	blocked_until_prior_gate	raw_capability_view
qwen3_1_7b_trad_repair	Qwen3-ASR-1.7B	deployment_repair_view	2	blocked_until_prior_gate	deployment_repair_view
qwen3_1_7b_lora_probe	Qwen3-ASR-1.7B	lora_intervention_probe	3	blocked_until_prior_gate	lora_intervention_probe
firered_aed_raw	FireRedASR-AED	raw_capability_view	1	blocked_until_prior_gate	raw_capability_view
firered_aed_trad_repair	FireRedASR-AED	deployment_repair_view	2	blocked_until_prior_gate	deployment_repair_view
firered_aed_lora_probe	FireRedASR-AED	lora_intervention_probe	3	blocked_until_prior_gate	lora_intervention_probe
firered_llm_raw	FireRedASR-LLM	raw_capability_view	1	blocked_until_prior_gate	raw_capability_view
firered_llm_trad_repair	FireRedASR-LLM	deployment_repair_view	2	blocked_until_prior_gate	deployment_repair_view
firered_llm_lora_probe	FireRedASR-LLM	lora_intervention_probe	3	blocked_until_prior_gate	lora_intervention_probe
